  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
   alpha    CL        CD       CM   
  ------ -------- --------- --------
   0.000   0.0000   0.00559  -0.0000
   1.000   0.1068   0.00570   0.0019
   2.000   0.2130   0.00609   0.0040
   3.000   0.3193   0.00677   0.0060
   4.000   0.4390   0.00778   0.0047
   5.000   0.5786   0.00909  -0.0016
   6.000   0.7190   0.01044  -0.0083
   7.000   0.8239   0.01170  -0.0074
   8.000   0.9070   0.01303  -0.0018
   9.000   0.9905   0.01460   0.0035
  10.000   1.0749   0.01650   0.0082
  11.000   1.1547   0.01898   0.0129
  12.000   1.2278   0.02169   0.0180
  13.000   1.2739   0.02538   0.0260
  14.000   1.3052   0.03065   0.0318
  15.000   1.3001   0.04155   0.0323
  16.000   1.2851   0.05695   0.0259
